firm,size,year,treshold,ROA3,ROA,FL,ETL,ROA2,ETLL,PPD,ROE,ROC,BVnK2,BVnK,GPM,PpDRG,RGSiD,NPA,RK,DAA,IADMA,IADMA2,KZP,KZP2,DZP,DZP2,ZFPP,IiPKKCHoSP,AR,ADA,AAA,RnSK,RnP,RnBA,EnR,OEnP,EnS,PPP,PPA,PPD,EDMA,EDMA2,OL,OL2,BL,NL,AL,AL2,PoOK,PoOK2,FM,VzGnSoD,FA,FLL,PnKZ,FS,OKP,InPoP,PRnK,OPnL,OPP,LP,DDkSK,ODA2,OKA,OKA2,ZnS,OnA2,OnB,SSnD,KSnDpDP,KSOLP,SSOLP,Unempoyment,Inlation,GDPgrove,GP,GP.index,EGP,KPEE
1,3,2013,500,0.024673,0.028101,0.208434,0.238058,0.015875,0.272389,0.220768,0.020862,0.026817,0.026817,0.017255,0.032148,0.042406,0.396456,0.063840,-0.025014,0.949148,0.006258,0.006389,0.328474,0.334555,0.671526,0.665445,0.000000,0.000000,0.037871,0.847560,0.804460,0.021044,0.070068,0.016183,1.033216,0.044572,0.699655,0.090361,0.050019,0.220768,0.694419,0.690260,0.670290,0.800211,0.571105,0.381793,0.089221,0.095047,-0.044328,-0.028862,-0.032526,1.078739,0.769035,0.225724,0.676630,0.973646,-0.108301,-0.134949,12.181159,0.354523,0.204225,0.043142,0.201680,0.591394,11.096622,8.650514,1.690921,0.553550,0.063326,1.473555,1.419020,0.020000,0.018333,12.900000,-1.600000,0.001536,-0.065055,1.345635,2.227299,1.014518
1,3,2012,500,0.046214,0.024673,0.225724,0.272389,0.036603,0.322075,0.262565,0.048386,0.050596,0.050596,0.040074,0.064017,0.082079,0.436033,0.077961,-0.007277,0.923362,0.006518,0.006637,0.340035,0.355626,0.659965,0.644374,0.000000,0.012135,0.034921,0.848546,0.783515,0.047866,0.146093,0.036053,1.068155,0.072489,0.798629,0.103187,0.065785,0.262565,0.793190,0.787465,0.913283,0.828034,0.815924,0.615688,0.100118,0.052734,-0.011588,-0.023361,-0.009661,1.211215,0.753217,0.240402,1.584155,0.992119,-0.029487,0.060615,10.916831,0.207301,0.147564,0.042622,0.216230,0.686780,8.193785,8.890190,1.456071,0.637530,0.095654,1.522050,1.483600,0.030000,0.113333,12.300000,4.200000,0.015862,0.249542,1.439266,1.996101,1.024021
1,3,2011,500,0.050961,0.046214,0.240402,0.322075,0.039545,0.349993,0.278574,0.053147,0.056017,0.056017,0.043469,0.072346,0.094983,0.494497,0.067656,-0.022745,0.933367,0.006754,0.005896,0.372143,0.352680,0.627857,0.647320,0.012495,-0.011661,0.036615,0.877754,0.819267,0.052329,0.165554,0.039761,1.077989,0.083944,0.745600,0.109609,0.066541,0.278574,0.737141,0.735490,0.745517,0.882961,0.635635,0.599390,0.006868,0.133947,-0.037263,-0.017402,-0.029934,1.080100,0.759829,0.239704,0.614269,0.975631,-0.094704,0.119170,10.188478,0.224086,0.164251,0.053102,0.198456,0.659652,9.160696,7.617021,1.515950,0.607078,0.088771,1.406451,1.511580,0.220000,0.195000,11.300000,2.800000,0.080085,0.151835,1.151835,2.181925,1.043590
1,3,2010,500,0.061703,0.050961,0.239704,0.349993,0.048623,0.323602,0.250062,0.069076,0.068632,0.068632,0.054083,0.099689,0.138920,0.479234,0.048641,0.001484,0.907374,0.005043,0.004863,0.335652,0.340963,0.664348,0.659037,0.000000,0.027446,0.039442,0.898922,0.815658,0.066772,0.179130,0.048641,1.110727,0.114412,0.661962,0.125860,0.067877,0.250062,0.655707,0.653643,1.016284,1.168504,0.897853,0.383420,0.257217,0.118403,0.002751,0.031543,0.002037,1.247409,0.728463,0.254050,1.519615,1.001636,0.005466,0.208462,9.971873,0.211898,0.165451,0.053540,0.247638,0.611438,5.824472,4.571674,1.635488,0.539308,0.108228,1.477377,1.472760,0.180000,0.200000,10.300000,4.500000,0.024457,-0.011877,1.000000,2.630467,0.998044
2,3,2013,500,0.057484,0.048762,0.592666,0.141010,0.032813,0.151834,0.100637,0.086500,0.070256,0.070256,0.040104,0.046087,0.057511,0.578669,0.086632,-0.098536,0.907163,0.026900,0.034201,0.316442,0.292885,0.683558,0.707115,0.037922,0.020000,0.029988,0.896266,0.813059,0.082922,0.054192,0.032774,1.048314,0.072781,0.970916,0.077150,0.060936,0.100637,0.945123,0.937302,0.485111,0.463242,0.453348,0.249140,0.102104,0.061728,-0.124908,-0.123535,-0.249311,1.188315,0.395233,0.596890,0.826694,0.891380,-0.162932,-0.061526,4.225384,0.429565,0.317241,0.045272,1.045947,0.862457,8.497340,9.379508,1.159478,0.789831,0.085209,1.473555,1.419020,0.020000,0.018333,12.900000,-1.600000,0.001536,-0.065055,1.345635,2.227299,1.014518
2,3,2012,500,0.058299,0.057484,0.596890,0.151834,0.031887,0.135784,0.084453,0.087434,0.073711,0.073711,0.040317,0.041723,0.051175,0.585704,0.057227,-0.096605,0.924442,0.041381,0.038907,0.270450,0.329100,0.729550,0.670900,0.055638,0.124727,0.026993,0.883277,0.816538,0.085930,0.049057,0.031229,1.043130,0.067757,1.032952,0.063801,0.054896,0.084453,0.990554,0.992346,0.438873,0.303512,0.396697,0.363221,0.016738,0.010664,-0.114646,-0.169243,-0.265824,1.136743,0.363419,0.635530,0.700634,0.895499,-0.151757,0.168874,4.808435,0.449742,0.335308,0.045148,1.277910,0.918714,11.152218,13.558983,1.088478,0.860415,0.077631,1.522050,1.483600,0.030000,0.113333,12.300000,4.200000,0.015862,0.249542,1.439266,1.996101,1.024021
2,3,2011,500,0.059269,0.058299,0.635530,0.135784,0.032262,0.140927,0.087998,0.082131,0.074476,0.078028,0.042473,0.047615,0.060697,0.601399,0.049868,-0.196745,0.949165,0.036424,0.030154,0.390530,0.373662,0.609470,0.626338,0.185960,0.007213,0.031487,0.899065,0.853361,0.088015,0.050819,0.032217,1.049995,0.078709,0.878140,0.074188,0.055865,0.087998,0.850514,0.851311,0.205327,0.234819,0.169385,0.156870,0.006258,0.005405,-0.261640,-0.244303,-0.537496,1.110615,0.366040,0.633392,0.375301,0.792718,-0.310343,0.202117,3.039097,0.455607,0.339280,0.047268,1.055566,0.798072,14.792394,13.338344,1.253020,0.753017,0.053709,1.406451,1.511580,0.220000,0.195000,11.300000,2.800000,0.080085,0.151835,1.151835,2.181925,1.043590
2,3,2010,500,0.043353,0.059269,0.633392,0.140927,0.015534,0.105798,0.055747,0.041398,0.052887,0.055333,0.019827,0.027494,0.036402,0.550042,0.031603,-0.171148,0.937909,0.023873,0.034740,0.357237,0.327560,0.642763,0.672440,0.188188,0.030044,0.034091,0.923294,0.865966,0.037052,0.023816,0.015549,1.028272,0.069179,0.739633,0.058023,0.036361,0.055747,0.708841,0.713536,0.266211,0.353767,0.223285,0.214290,0.004498,0.006525,-0.272841,-0.223275,-0.407828,1.133887,0.391269,0.608348,0.386280,0.894879,-0.262137,0.156058,3.598520,0.641520,0.447905,0.047388,1.000000,0.678658,10.102652,8.181503,1.473497,0.626675,0.081351,1.477377,1.472760,0.180000,0.200000,10.300000,4.500000,0.024457,-0.011877,1.000000,2.630467,0.998044
2,3,2009,500,0.048084,0.043353,0.608348,0.105798,0.018331,0.106247,0.054728,0.055273,0.061450,0.061498,0.023445,0.037202,0.051153,0.468812,0.017799,-0.108754,0.908926,0.045752,0.085011,0.298657,0.326319,0.701343,0.674498,0.212930,0.019563,0.036050,0.917997,0.834391,0.053787,0.026601,0.017799,1.038639,0.086210,0.692036,0.067616,0.037713,0.054728,0.621330,0.632750,0.455763,0.400594,0.380554,0.362780,0.008887,0.028974,-0.200817,-0.234405,-0.328648,1.270353,0.330912,0.668499,0.699695,0.880349,-0.162540,1.099954,4.004311,0.614097,0.451529,0.047974,1.418078,0.611159,5.946304,6.383348,1.636236,0.557758,0.137141,1.406695,1.364090,0.550000,2.405833,6.800000,0.600000,0.003161,0.115528,1.012020,2.521749,0.989960
3,3,2013,500,0.048840,0.032923,0.506565,0.115150,0.026790,0.143426,0.090720,0.058557,0.057828,0.057828,0.031720,0.047695,0.059693,0.443972,0.101958,-0.121894,0.956989,0.032724,0.033184,0.313529,0.286525,0.686471,0.713475,0.123725,0.053129,0.033212,0.881034,0.843140,0.056891,0.051275,0.026969,1.050083,0.078096,0.742372,0.075792,0.047399,0.090720,0.721139,0.715663,0.260823,0.270097,0.215890,0.200200,0.007845,0.005111,-0.193618,-0.181419,-0.257139,1.135384,0.474037,0.525349,0.544540,0.872628,-0.231753,-0.193345,5.064118,0.450968,0.330601,0.046892,0.761667,0.652788,14.637134,14.895784,1.531890,0.625382,0.054495,1.473555,1.419020,0.020000,0.018333,12.900000,-1.600000,0.001536,-0.065055,1.345635,2.227299,1.014518
